Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
17.150,1.888,0.25,-0.1
17.200,1.900,0.24,0.0
17.250,1.912,0.24,0.0
17.300,1.925,0.24,0.0
17.350,1.936,0.24,0.0
17.400,1.948,0.24,-0.1
17.450,1.960,0.23,-0.2
17.500,1.971,0.23,-0.7
17.550,1.983,0.19,-1.4
17.600,1.993,0.09,-2.0
17.650,1.994,-0.04,-2.1
17.700,1.987,-0.15,-1.6
17.750,1.978,-0.21,-0.9
17.800,1.965,-0.23,-0.3
17.850,1.954,-0.23,0.0
17.900,1.943,-0.22,0.0
17.950,1.932,-0.22,0.0
18.000,1.921,-0.22,0.0
18.050,1.909,-0.23,0.0
18.100,1.898,-0.23,0.0
18.150,1.887,-0.22,8.2E-4
18.200,1.876,-0.22,0.0
18.250,1.864,-0.23,0.0
18.300,1.853,-0.23,0.0
18.350,1.841,-0.23,0.0
18.400,1.830,-0.23,0.0
18.450,1.819,-0.24,0.0
18.500,1.805,-0.23,0.1
18.550,1.795,-0.22,0.0
18.600,1.784,-0.22,-0.1
18.650,1.773,-0.24,-0.1
18.700,1.761,-0.24,0.0
18.750,1.747,-0.23,0.1
18.800,1.738,-0.22,0.0
18.850,1.727,-0.22,-0.1
18.900,1.715,-0.24,-0.1
18.950,1.704,-0.24,0.0
19.000,1.689,-0.24,0.0
19.050,1.680,-0.24,0.0
19.100,1.666,-0.23,0.0
19.150,1.655,-0.24,-0.1
19.200,1.644,-0.25,0.0
19.250,1.629,-0.25,0.0
19.300,1.618,-0.24,0.0
19.350,1.606,-0.24,0.0
19.400,1.595,-0.24,0.0
19.450,1.582,-0.24,0.0
19.500,1.570,-0.24,0.0
19.550,1.558,-0.23,-0.1
19.600,1.548,-0.24,-0.1
19.650,1.533,-0.25,-0.1
19.700,1.521,-0.25,0.0
19.750,1.509,-0.24,0.0
19.800,1.497,-0.25,0.0
19.850,1.484,-0.25,0.0
19.900,1.472,-0.25,0.0
19.950,1.460,-0.25,0.0
20.000,1.447,-0.25,0.0
20.050,1.435,-0.25,0.0
20.100,1.422,-0.25,0.0
20.150,1.410,-0.25,0.0
20.200,1.397,-0.25,0.0
20.250,1.385,-0.25,0.0
20.300,1.372,-0.25,0.0
20.350,1.359,-0.26,0.0
20.400,1.347,-0.26,0.0
20.450,1.333,-0.25,0.0
20.500,1.321,-0.25,0.0
20.550,1.308,-0.25,0.0
20.600,1.296,-0.26,0.0
20.650,1.283,-0.26,0.0
20.700,1.270,-0.26,0.0
20.750,1.257,-0.26,0.0
20.800,1.244,-0.26,0.0
20.850,1.231,-0.26,0.0
20.900,1.218,-0.26,0.0
20.950,1.205,-0.26,0.0
21.000,1.192,-0.26,0.0
21.050,1.179,-0.26,0.0
21.100,1.166,-0.26,0.0
21.150,1.152,-0.26,0.0
21.200,1.139,-0.27,0.0
21.250,1.126,-0.27,0.0
21.300,1.113,-0.27,0.0
21.350,1.099,-0.27,0.0
21.400,1.086,-0.27,0.0
21.450,1.072,-0.27,0.0
21.500,1.059,-0.27,0.0
21.550,1.045,-0.27,0.0
21.600,1.032,-0.27,0.0
21.650,1.018,-0.27,0.0
21.700,1.005,-0.27,0.0
21.750,0.991,-0.27,0.0
21.800,0.977,-0.27,0.0
21.850,0.964,-0.27,0.0
21.900,0.950,-0.28,0.0
21.950,0.936,-0.28,0.0
22.000,0.922,-0.28,0.0
22.050,0.908,-0.28,0.0
22.100,0.894,-0.28,0.0
22.150,0.880,-0.28,0.0
22.200,0.867,-0.28,0.0
22.250,0.853,-0.28,0.0
